test,development,web,documentation,vcsManagement,build,toolManagement,data,design,classes
6.07,39.49,26.40,7.94,0.23,3.27,0.70,0.23,11.21,dev
9.41,40.90,15.99,7.00,13.37,1.96,2.04,1.46,2.00,dev
6.32,25.18,20.48,4.97,19.07,9.59,1.78,1.57,4.77,dev
6.10,23.17,25.61,0.00,19.51,0.00,2.44,2.44,4.88,dev
15.22,35.65,12.61,22.61,0.00,1.74,0.00,0.00,10.00,dev
11.69,29.23,30.65,5.65,0.20,0.40,0.60,2.02,15.12,dev
7.51,32.51,21.36,6.71,19.68,2.92,1.68,0.73,2.77,dev
14.65,37.37,21.44,1.06,0.00,0.64,1.49,7.22,10.62,dev
0.00,28.57,28.57,14.29,0.00,14.29,14.29,0.00,0.00,dev
5.81,47.74,42.58,0.00,0.00,0.00,0.00,0.00,2.58,webdev
7.41,22.22,60.74,0.00,0.00,0.00,0.00,0.00,6.67,webdev
0.61,17.18,68.10,1.23,1.23,0.61,0.00,0.61,7.98,webdev
3.83,26.78,44.70,2.90,4.70,3.93,0.60,2.95,6.01,webdev
0.94,21.35,57.52,3.66,0.00,6.21,1.28,0.44,5.66,webdev
4.68,20.54,41.29,1.63,19.22,1.85,0.63,2.37,4.39,webdev
0.00,11.54,69.23,0.00,0.00,0.00,0.00,3.85,11.54,webdev
5.56,28.59,42.97,1.31,0.00,0.82,0.33,3.27,7.35,webdev
0.00,28.07,52.28,2.46,0.00,5.26,1.40,0.35,8.42,webdev
22.30,21.62,0.00,20.27,0.00,0.68,3.38,0.68,4.05,tester
37.50,50.00,8.33,0.00,0.00,0.00,0.00,0.00,0.00,tester
50.00,50.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,tester
27.27,36.36,0.00,27.27,0.00,0.00,0.00,0.00,0.00,tester
43.28,28.36,16.42,2.99,1.49,0.00,0.00,4.48,0.00,tester
30.66,34.21,9.15,8.24,0.11,0.57,0.57,2.75,2.40,tester
23.99,27.73,15.26,7.79,0.00,2.49,1.56,1.25,4.67,tester
19.16,17.99,9.35,5.37,0.00,0.23,0.70,10.28,14.72,tester
1.05,12.20,40.07,0.35,40.07,2.09,0.35,2.44,1.39,support
2.67,10.67,32.00,22.67,32.00,0.00,0.00,0.00,0.00,support
2.19,13.14,40.15,2.19,40.15,0.00,1.46,0.73,0.00,support
0.00,7.94,38.10,0.00,38.10,1.59,4.76,0.00,9.52,support
7.14,7.14,42.86,0.00,42.86,0.00,0.00,0.00,0.00,support
0.00,8.09,38.72,0.00,38.72,0.00,0.00,2.13,12.34,support
0.00,0.00,34.55,5.24,34.55,0.00,0.00,0.00,25.65,support
0.00,10.71,38.10,1.19,38.10,1.19,2.38,0.00,8.33,support
1.19,3.39,46.15,1.61,46.15,0.08,0.17,1.19,0.08,support
0.00,14.29,42.86,0.00,42.86,0.00,0.00,0.00,0.00,support
