test,development,web,documentation,vcsManagement,build,toolManagement,data,design,classes
6.07,39.49,26.40,7.94,0.23,3.27,0.70,0.23,11.21,dev
9.41,40.90,15.99,7.00,13.37,1.96,2.04,1.46,2.00,dev
...,...,...,...,...,...,...,...,...,...
3.83,26.78,44.70,2.90,4.70,3.93,0.60,2.95,6.01,webdev
0.00,28.07,52.28,2.46,0.00,5.26,1.40,0.35,8.42,webdev
...,...,...,...,...,...,...,...,...,...
43.28,28.36,16.42,2.99,1.49,0.00,0.00,4.48,0.00,tester
23.99,27.73,15.26,7.79,0.00,2.49,1.56,1.25,4.67,tester
...,...,...,...,...,...,...,...,...,...
0.00,7.94,38.10,0.00,38.10,1.59,4.76,0.00,9.52,support
1.19,3.39,46.15,1.61,46.15,0.08,0.17,1.19,0.08,support
...,...,...,...,...,...,...,...,...,...
